0.271604938271605	0.4797979797979799	0.37213403880070545	0.4030154047853163	0.4406938584153775	
0.5037037037037035	0.2601010101010101	0.6597222222222222	0.5199115044247787	0.19971870604781994	
0.5244444444444445	0.5151515151515151	0.15555555555555556	0.5280825958702066	0.4362869198312236	
0.38484848484848494	0.22933884297520662	0.8187229437229437	0.7218423169750603	0.819907940161105	
0	1
1	2
2	1
3	3
4	1
5	0
6	1
7	1
8	3
9	1
10	0
11	1
12	1
13	3
14	0
15	3
16	3
17	3
18	0
19	0
20	3
21	0
22	1
23	0
24	3
25	1
26	3
27	1
28	0
29	2
30	1
31	1
32	3
33	1
34	2
35	2
36	0
37	1
38	0
39	0
40	0
41	1
42	0
43	1
44	1
45	1
46	3
47	1
48	1
49	2
50	3
51	1
52	2
53	0
54	1
55	3
56	1
57	0
58	0
59	3
60	1
61	3
62	2
63	0
64	0
65	3
66	2
67	1
68	0
69	1
70	2
71	2
72	0
73	1
74	3
75	2
76	0
77	2
78	1
79	1
80	3
81	3
82	1
83	0
84	3
85	0
86	2
87	3
88	0
89	0
90	1
91	0
92	1
93	1
94	1
95	1
96	0
97	3
98	2
99	2
